city,attraction,type,description
Delhi,Red Fort,Historical,"UNESCO World Heritage site built by Mughal emperor Shah Jahan."
Delhi,Qutub Minar,Historical,"Tallest brick minaret in the world."
Mumbai,Gateway of India,Monument,"Iconic waterfront arch built in 1924."
Mumbai,Marine Drive,Leisure,"3.6 km-long boulevard along the coast, known as Queen’s Necklace."
Hyderabad,Charminar,Historical,"1591 mosque with four grand minarets."
Hyderabad,Golconda Fort,Historical,"Historic citadel and former capital of Qutb Shahi dynasty."
Kolkata,Victoria Memorial,Museum,"Marble museum dedicated to Queen Victoria."
Kolkata,Howrah Bridge,Landmark,"Iconic cantilever bridge across the Hooghly River."
Bangalore,Lalbagh Botanical Garden,Nature,"240-acre garden with glasshouse."
Bangalore,Bangalore Palace,Historical,"Palace inspired by England’s Windsor Castle."
